,title,authors,manufacturer,rank,price,currency,reldate,page,language
B00A6IJ5KC,15 Real Life Angel Stories in the News: Global Evidence of Angelic Assistance (Book) (Help Me Angels Book 4),,,674629,,,2012-11-12,57,English
B00A7DM3JQ,The 12 Days Of Christmas: A Carol and Count Book,,KiteReaders,1615161,,,2013-11-17,31,English
B00A950SJY,The Hugh Smith Family Cookbook ~ from generations past to present,,Myna Copeland,3044993,,,2012-11-16,177,English
B00AHPSTRY,"Moshi iVisor XT (HD clear) No-Bubble Screen Protector for Kindle Fire HD 8.9""",,Moshi,,,,,,
B00AJIVB4C,Newsweek,,Newsweek LLC,,0,USD,2015-05-01,,English
B00AJZQC8A,"Buffalo Kindle Fire HD 7"" (Previous Generation) Anti-Glare Screen Protector",,Buffalo,,,,2012-12-20,,
B00AK3RB7W,Just Desserts,,Tirgearr Publishing,,,,2013-11-26,218,English
B00AMR3RII,Fifty Shades of Santa: Clean and Wholesome Romance Short Story Anthology,,Welkin Press,2163358,,,2012-12-08,144,English
B00AN7Q4WI,"kate spade new york Pebbled Leather Case for Kindle Fire HD, Green (only fits Kindle Fire HD 7"", Previous Generation)",,Kate Spade (Kindle Accessories),,,,,,
B00APDASCM,Soups & Stews 101: Master Soups and Stews with 101 Great Recipes,,Agate Digital,2183470,,,2013-02-26,144,English
B00AR3OKHE,The Story Bible,,,,,,2012-12-17,962,English
B00ASNFRIE,Cats in Space: The World's First Anthology Of Feline Science Fiction,,"Tibbles, Inc.",1490255,,,2012-12-23,36,English
B00AU2K83C,Shadows After Midnight (After Midnight Anthologies Book 1),,Welkin Press,2344864,,,2012-12-27,107,English
B00B0MN8JW,ISLAND DREAMS (MOTIVATIONAL PHOTOGRAPHY BOOK Book 1),,Happy Language Kids Publications,2368095,,,2013-01-12,36,English
B00B5HQYB6,"Dylan's Candy Bar ""Lollipop"" Cover for Kindle (will only fit Kindle, Kindle Touch, & Kindle Paperwhite)",,Dylan's Candy Bar,174360,1299,USD,,,
B00B81PBW2,365 Money Quotes: Build Your Wealth On Wisdom Of The Rich And Famous (Inspirational Quotes Book 1),,Better Life Publishers,1579805,,,2013-01-01,367,English
B00BGIQPSG,Marware Swurve for Kindle Fire HD 7 (Blue),,Marware,,,,,,
B00BGIQRNO,"Marware Swurve Kid Proof Case for Kindle Fire, Pink (will not fit HD or HDX models)",,MarBlue (Kindle Accessories),,,,,,
